code,occupation,degree required,work experience required
11-1011,Chief executives,Bachelor's degree,5 years or more
11-1021,General and operations managers,Bachelor's degree,5 years or more
11-1031,Legislators,Bachelor's degree,Less than 5 years
11-2011,Advertising and promotions managers,Bachelor's degree,Less than 5 years
11-2021,Marketing managers,Bachelor's degree,5 years or more
11-2022,Sales managers,Bachelor's degree,Less than 5 years
11-2031,Public relations and fundraising managers,Bachelor's degree,5 years or more
11-3011,Administrative services managers,Bachelor's degree,Less than 5 years
11-3021,Computer and information systems managers,Bachelor's degree,5 years or more
11-3031,Financial managers,Bachelor's degree,5 years or more
11-3051,Industrial production managers,Bachelor's degree,5 years or more
11-3061,Purchasing managers,Bachelor's degree,5 years or more
11-3071,"Transportation, storage, and distribution managers",High school diploma or equivalent,5 years or more
11-3111,Compensation and benefits managers,Bachelor's degree,5 years or more
11-3121,Human resources managers,Bachelor's degree,5 years or more
11-3131,Training and development managers,Bachelor's degree,5 years or more
11-9013,"Farmers, ranchers, and other agricultural managers",High school diploma or equivalent,5 years or more
11-9021,Construction managers,Bachelor's degree,None
11-9031,"Education administrators, preschool and childcare center/program",Bachelor's degree,Less than 5 years
11-9032,"Education administrators, elementary and secondary school",Master's degree,5 years or more
11-9033,"Education administrators, postsecondary",Master's degree,Less than 5 years
11-9039,"Education administrators, all other",Bachelor's degree,Less than 5 years
11-9041,Architectural and engineering managers,Bachelor's degree,5 years or more
11-9051,Food service managers,High school diploma or equivalent,Less than 5 years
11-9061,Funeral service managers,Associate's degree,Less than 5 years
11-9071,Gaming managers,High school diploma or equivalent,Less than 5 years
11-9081,Lodging managers,High school diploma or equivalent,Less than 5 years
11-9111,Medical and health services managers,Bachelor's degree,Less than 5 years
11-9121,Natural sciences managers,Bachelor's degree,5 years or more
11-9131,Postmasters and mail superintendents,High school diploma or equivalent,Less than 5 years
11-9141,"Property, real estate, and community association managers",High school diploma or equivalent,Less than 5 years
11-9151,Social and community service managers,Bachelor's degree,Less than 5 years
11-9161,Emergency management directors,Bachelor's degree,5 years or more
11-9199,"Managers, all other",Bachelor's degree,Less than 5 years
13-1011,"Agents and business managers of artists, performers, and athletes",Bachelor's degree,Less than 5 years
13-1020,Buyers and purchasing agents,Bachelor's degree,None
13-1031,"Claims adjusters, examiners, and investigators",High school diploma or equivalent,None
13-1032,"Insurance appraisers, auto damage",Postsecondary nondegree award,None
13-1041,Compliance officers,Bachelor's degree,None
13-1051,Cost estimators,Bachelor's degree,None
13-1071,Human resources specialists,Bachelor's degree,None
13-1074,Farm labor contractors,No formal educational credential,Less than 5 years
13-1075,Labor relations specialists,Bachelor's degree,Less than 5 years
13-1081,Logisticians,Bachelor's degree,None
13-1111,Management analysts,Bachelor's degree,Less than 5 years
13-1121,"Meeting, convention, and event planners",Bachelor's degree,None
13-1131,Fundraisers,Bachelor's degree,None
13-1141,"Compensation, benefits, and job analysis specialists",Bachelor's degree,Less than 5 years
13-1151,Training and development specialists,Bachelor's degree,Less than 5 years
13-1161,Market research analysts and marketing specialists,Bachelor's degree,None
13-1199,"Business operations specialists, all other",Bachelor's degree,None
13-2011,Accountants and auditors,Bachelor's degree,None
13-2021,Appraisers and assessors of real estate,Bachelor's degree,None
13-2031,Budget analysts,Bachelor's degree,None
13-2041,Credit analysts,Bachelor's degree,None
13-2051,Financial analysts,Bachelor's degree,None
13-2052,Personal financial advisors,Bachelor's degree,None
13-2053,Insurance underwriters,Bachelor's degree,None
13-2061,Financial examiners,Bachelor's degree,None
13-2071,Credit counselors,Bachelor's degree,None
13-2072,Loan officers,Bachelor's degree,None
13-2081,"Tax examiners and collectors, and revenue agents",Bachelor's degree,None
13-2082,Tax preparers,High school diploma or equivalent,None
13-2099,"Financial specialists, all other",Bachelor's degree,None
15-1111,Computer and information research scientists,Master's degree,None
15-1121,Computer systems analysts,Bachelor's degree,None
15-1122,Information security analysts,Bachelor's degree,Less than 5 years
15-1131,Computer programmers,Bachelor's degree,None
15-1132,"Software developers, applications",Bachelor's degree,None
15-1133,"Software developers, systems software",Bachelor's degree,None
15-1134,Web developers,Associate's degree,None
15-1141,Database administrators,Bachelor's degree,None
15-1142,Network and computer systems administrators,Bachelor's degree,None
15-1143,Computer network architects,Bachelor's degree,5 years or more
15-1151,Computer user support specialists,"Some college, no degree",None
15-1152,Computer network support specialists,Associate's degree,None
15-1199,"Computer occupations, all other",Bachelor's degree,None
15-2011,Actuaries,Bachelor's degree,None
15-2021,Mathematicians,Master's degree,None
15-2031,Operations research analysts,Bachelor's degree,None
15-2041,Statisticians,Master's degree,None
15-2090,Miscellaneous mathematical science occupations,Bachelor's degree,None
17-1011,"Architects, except landscape and naval",Bachelor's degree,None
17-1012,Landscape architects,Bachelor's degree,None
17-1021,Cartographers and photogrammetrists,Bachelor's degree,None
17-1022,Surveyors,Bachelor's degree,None
17-2011,Aerospace engineers,Bachelor's degree,None
17-2021,Agricultural engineers,Bachelor's degree,None
17-2031,Biomedical engineers,Bachelor's degree,None
17-2041,Chemical engineers,Bachelor's degree,None
17-2051,Civil engineers,Bachelor's degree,None
17-2061,Computer hardware engineers,Bachelor's degree,None
17-2071,Electrical engineers,Bachelor's degree,None
17-2072,"Electronics engineers, except computer",Bachelor's degree,None
17-2081,Environmental engineers,Bachelor's degree,None
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",Bachelor's degree,None
17-2112,Industrial engineers,Bachelor's degree,None
17-2121,Marine engineers and naval architects,Bachelor's degree,None
