FOD1P,Major,Major_Category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Ocupation industry
1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,128148,90245,74078,2423,0.026147106,50000,34000,80000.0,"Farming, Fishing, and Forestry Occupations"
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,95326,76865,64240,2266,0.028636059,54000,36000,80000.0,"Farming, Fishing, and Forestry Occupations"
1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,33955,26321,22810,821,0.030248324,63000,40000,98000.0,"Farming, Fishing, and Forestry Occupations"
1103,ANIMAL SCIENCES,Agriculture & Natural Resources,103549,81177,64937,3619,0.0426789,46000,30000,72000.0,"Farming, Fishing, and Forestry Occupations"
1104,FOOD SCIENCE,Agriculture & Natural Resources,24280,17281,12722,894,0.049188446,62000,38500,90000.0,"Farming, Fishing, and Forestry Occupations"
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,79409,63043,51077,2070,0.031790887000000004,50000,35000,75000.0,"Farming, Fishing, and Forestry Occupations"
1106,SOIL SCIENCE,Agriculture & Natural Resources,6586,4926,4042,264,0.050867052,63000,39400,88000.0,"Farming, Fishing, and Forestry Occupations"
1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,8549,6392,5074,261,0.039230422,52000,35000,75000.0,"Farming, Fishing, and Forestry Occupations"
1302,FORESTRY,Agriculture & Natural Resources,69447,48228,39613,2144,0.042563329000000004,58000,40500,80000.0,"Farming, Fishing, and Forestry Occupations"
1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,83188,65937,50595,3789,0.054341279000000006,52000,37100,75000.0,"Farming, Fishing, and Forestry Occupations"
6000,FINE ARTS,Arts,571961,386961,256747,29912,0.071753268,45000,30000,70000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
6001,DRAMA AND THEATER ARTS,Arts,174817,135071,81519,11789,0.08027373,42000,29000,62000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
6002,MUSIC,Arts,276262,192704,116142,11155,0.054719193,45000,30000,67000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
