living_wage,income,debt,time_to_repay,decision
29661,137569,16536,0.5108055009823183,Yes
29772,74935,24491,1.8076006170242602,Yes
23622,97537,41453,1.8693995355024915,Yes
23900,113814,19126,0.7090479050351818,Yes
33841,96999,42038,2.218668524441348,Yes
31060,33843,21453,25.69529284944305,No
27390,42664,23051,5.030553009471433,Yes
28249,74524,43017,3.0986493787142084,Yes
32586,76621,29505,2.233450664244351,Yes
31734,73689,44016,3.4970802049815277,Yes
22609,58677,50440,4.661565191674985,Yes
23216,124038,21445,0.7090053096877005,Yes
34190,97588,29085,1.5292280513580871,Yes
35167,50058,15025,3.3633290802050455,Yes
23686,92359,25068,1.2167809765118753,Yes
28158,65751,23603,2.0928541661124855,Yes
25444,27800,25677,36.32852292020374,No
26643,29489,23913,28.007730147575547,No
23374,118977,40071,1.397131889166658,Yes
32344,26953,41004,-25.35336672231497,No
23557,89993,47274,2.3719067975194172,Yes
27434,55349,38424,4.588214221744582,Yes
25352,45252,23297,3.902345058626466,Yes
23352,67827,25734,1.9287240022484542,Yes
32322,116937,40932,1.6124800567275306,Yes
35166,128364,52290,1.8702118071203246,Yes
32345,135448,31448,1.0167179099217936,Yes
28815,65981,33131,2.9714434339629414,Yes
32690,110538,50540,2.1640461754530196,Yes
26147,76504,34983,2.315666143733741,Yes
29261,51300,48196,7.289501943524359,Yes
24155,111878,18349,0.6972325767852597,Yes
33899,76467,20012,1.5670613293240618,Yes
27330,117585,15881,0.5865233689730948,Yes
25358,60214,19931,1.9060324382220184,Yes
34024,33981,52288,-4053.333333333333,No
23011,88113,35516,1.8184797190050486,Yes
27917,111840,33784,1.3418649635181457,Yes
22883,133898,22002,0.6606314462009638,Yes
31791,37550,46553,26.94507148231753,No
26665,133547,16075,0.5013316866575601,Yes
29354,90706,19444,1.056417612031121,Yes
27179,129224,50633,1.6539435216489458,Yes
31750,103652,21390,0.9916274929765515,Yes
28570,59219,38966,4.237876167792316,Yes
27500,48786,27451,4.298756616242287,Yes
27270,135089,18461,0.5707404693668711,Yes
28193,25369,26762,-31.588762983947124,No
23680,54181,41488,4.534058992601336,Yes
29126,49592,51474,8.383660705560441,Yes
