Occupation Code,Occupation Title,Annual Median Wage,Occupation Group
11-0000,Management Occupations,105660,Management Occupations
11-1000,Top Executives,103230,Management Occupations
11-1010,Chief Executives,184460,Management Occupations
11-1011,Chief Executives,184460,Management Occupations
11-1020,General and Operations Managers,100780,Management Occupations
11-1021,General and Operations Managers,100780,Management Occupations
11-1030,Legislators,29270,Management Occupations
11-1031,Legislators,29270,Management Occupations
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",128870,Management Occupations
11-2010,Advertising and Promotions Managers,125510,Management Occupations
11-2011,Advertising and Promotions Managers,125510,Management Occupations
11-2020,Marketing and Sales Managers,130700,Management Occupations
11-2021,Marketing Managers,136850,Management Occupations
11-2022,Sales Managers,126640,Management Occupations
11-3000,Operations Specialties Managers,120960,Management Occupations
11-3020,Computer and Information Systems Managers,146360,Management Occupations
11-3021,Computer and Information Systems Managers,146360,Management Occupations
11-3030,Financial Managers,129890,Management Occupations
11-3031,Financial Managers,129890,Management Occupations
11-3050,Industrial Production Managers,105480,Management Occupations
11-3051,Industrial Production Managers,105480,Management Occupations
11-3060,Purchasing Managers,121110,Management Occupations
11-3061,Purchasing Managers,121110,Management Occupations
11-3070,"Transportation, Storage, and Distribution Managers",94560,Management Occupations
11-3071,"Transportation, Storage, and Distribution Managers",94560,Management Occupations
11-3110,Compensation and Benefits Managers,122270,Management Occupations
11-3111,Compensation and Benefits Managers,122270,Management Occupations
11-3120,Human Resources Managers,116720,Management Occupations
11-3121,Human Resources Managers,116720,Management Occupations
11-3130,Training and Development Managers,113350,Management Occupations
11-3131,Training and Development Managers,113350,Management Occupations
11-9000,Other Management Occupations,91300,Management Occupations
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",71160,Management Occupations
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",71160,Management Occupations
11-9020,Construction Managers,95260,Management Occupations
11-9021,Construction Managers,95260,Management Occupations
11-9030,Education and Childcare Administrators,91130,Management Occupations
11-9031,"Education and Childcare Administrators, Preschool and Daycare",48210,Management Occupations
11-9032,"Education Administrators, Kindergarten through Secondary",96400,Management Occupations
11-9033,"Education Administrators, Postsecondary",95410,Management Occupations
11-9039,"Education Administrators, All Other",85450,Management Occupations
11-9040,Architectural and Engineering Managers,144830,Management Occupations
11-9041,Architectural and Engineering Managers,144830,Management Occupations
11-9050,Food Service Managers,55320,Management Occupations
11-9051,Food Service Managers,55320,Management Occupations
11-9071,Gambling Managers,74970,Management Occupations
11-9080,Lodging Managers,54430,Management Occupations
11-9081,Lodging Managers,54430,Management Occupations
11-9110,Medical and Health Services Managers,100980,Management Occupations
11-9111,Medical and Health Services Managers,100980,Management Occupations
11-9120,Natural Sciences Managers,129100,Management Occupations
11-9121,Natural Sciences Managers,129100,Management Occupations
11-9130,Postmasters and Mail Superintendents,76900,Management Occupations
11-9131,Postmasters and Mail Superintendents,76900,Management Occupations
11-9140,"Property, Real Estate, and Community Association Managers",58760,Management Occupations
11-9141,"Property, Real Estate, and Community Association Managers",58760,Management Occupations
11-9150,Social and Community Service Managers,67150,Management Occupations
11-9151,Social and Community Service Managers,67150,Management Occupations
11-9160,Emergency Management Directors,74590,Management Occupations
11-9161,Emergency Management Directors,74590,Management Occupations
11-9171,Funeral Home Managers,76350,Management Occupations
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",110630,Management Occupations
13-0000,Business and Financial Operations Occupations,69820,Business and Financial Operations Occupations
13-1000,Business Operations Specialists,68730,Business and Financial Operations Occupations
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",73740,Business and Financial Operations Occupations
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",73740,Business and Financial Operations Occupations
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",66540,Business and Financial Operations Occupations
13-1031,"Claims Adjusters, Examiners, and Investigators",66790,Business and Financial Operations Occupations
13-1032,"Insurance Appraisers, Auto Damage",63270,Business and Financial Operations Occupations
13-1040,Compliance Officers,69050,Business and Financial Operations Occupations
13-1041,Compliance Officers,69050,Business and Financial Operations Occupations
13-1050,Cost Estimators,65250,Business and Financial Operations Occupations
13-1051,Cost Estimators,65250,Business and Financial Operations Occupations
13-1070,Human Resources Workers,62440,Business and Financial Operations Occupations
13-1071,Human Resources Specialists,61920,Business and Financial Operations Occupations
13-1074,Farm Labor Contractors,61910,Business and Financial Operations Occupations
13-1075,Labor Relations Specialists,69020,Business and Financial Operations Occupations
13-1081,Logisticians,74750,Business and Financial Operations Occupations
13-1110,Management Analysts,85260,Business and Financial Operations Occupations
13-1111,Management Analysts,85260,Business and Financial Operations Occupations
13-1120,"Meeting, Convention, and Event Planners",50600,Business and Financial Operations Occupations
13-1121,"Meeting, Convention, and Event Planners",50600,Business and Financial Operations Occupations
13-1130,Fundraisers,57970,Business and Financial Operations Occupations
13-1131,Fundraisers,57970,Business and Financial Operations Occupations
13-1140,"Compensation, Benefits, and Job Analysis Specialists",64560,Business and Financial Operations Occupations
13-1141,"Compensation, Benefits, and Job Analysis Specialists",64560,Business and Financial Operations Occupations
13-1150,Training and Development Specialists,61210,Business and Financial Operations Occupations
13-1151,Training and Development Specialists,61210,Business and Financial Operations Occupations
13-1160,Market Research Analysts and Marketing Specialists,63790,Business and Financial Operations Occupations
13-1161,Market Research Analysts and Marketing Specialists,63790,Business and Financial Operations Occupations
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",73570,Business and Financial Operations Occupations
13-2000,Financial Specialists,71950,Business and Financial Operations Occupations
13-2010,Accountants and Auditors,71550,Business and Financial Operations Occupations
13-2011,Accountants and Auditors,71550,Business and Financial Operations Occupations
13-2030,Budget Analysts,76540,Business and Financial Operations Occupations
13-2031,Budget Analysts,76540,Business and Financial Operations Occupations
13-2040,Credit Analysts,73650,Business and Financial Operations Occupations
13-2041,Credit Analysts,73650,Business and Financial Operations Occupations
13-2052,Personal Financial Advisors,87850,Business and Financial Operations Occupations
13-2053,Insurance Underwriters,70020,Business and Financial Operations Occupations
13-2060,Financial Examiners,81090,Business and Financial Operations Occupations
13-2061,Financial Examiners,81090,Business and Financial Operations Occupations
13-2070,Credit Counselors and Loan Officers,61090,Business and Financial Operations Occupations
13-2071,Credit Counselors,45950,Business and Financial Operations Occupations
13-2072,Loan Officers,63270,Business and Financial Operations Occupations
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",49590,Business and Financial Operations Occupations
13-2081,"Tax Examiners and Collectors, and Revenue Agents",54890,Business and Financial Operations Occupations
13-2082,Tax Preparers,43080,Business and Financial Operations Occupations
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",81590,Business and Financial Operations Occupations
