major_category,major,occ_industry,occ_title,degree_required,work_exp_required,total,employed,emp_full_time_year_round,unemployed,unemployment_rate,p25th,median,p75th
Computers & Mathematics,MATHEMATICS AND COMPUTER SCIENCE,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,7184,5874,5039,150,0.024900398,53000,92000,136000.0
Computers & Mathematics,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,51771,44071,35954,2748,0.05869412,36000,55000,80000.0
Computers & Mathematics,COMPUTER AND INFORMATION SYSTEMS,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,253782,218248,189950,11945,0.051891239000000006,45000,65000,90000.0
Computers & Mathematics,COMPUTER SCIENCE,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,783292,656372,561052,34196,0.049518657,51000,78000,105000.0
Computers & Mathematics,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,39362,32366,28156,2626,0.075045725,40000,55000,80000.0
Computers & Mathematics,APPLIED MATHEMATICS,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,19112,15136,12109,892,0.055652608,47000,70000,106000.0
Computers & Mathematics,INFORMATION SCIENCES,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,77805,66393,57604,3704,0.052841063,46200,68000,95000.0
Computers & Mathematics,STATISTICS AND DECISION SCIENCE,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,24806,18808,14468,1138,0.057054046,43000,70000,102000.0
Computers & Mathematics,COMMUNICATION TECHNOLOGIES,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,62141,49609,37261,4609,0.08500866900000001,34500,50000,75000.0
Computers & Mathematics,MATHEMATICS,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,432806,280902,209838,15701,0.05293608,42000,66000,100000.0
Computers & Mathematics,COMPUTER PROGRAMMING AND DATA PROCESSING,Computer and Mathematical Occupations,Actuaries,Bachelor's degree,None,29317,22828,18747,2265,0.090264217,40000,60000,85000.0
Computers & Mathematics,COMPUTER PROGRAMMING AND DATA PROCESSING,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,29317,22828,18747,2265,0.090264217,40000,60000,85000.0
Computers & Mathematics,STATISTICS AND DECISION SCIENCE,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,24806,18808,14468,1138,0.057054046,43000,70000,102000.0
Computers & Mathematics,COMPUTER SCIENCE,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,783292,656372,561052,34196,0.049518657,51000,78000,105000.0
Computers & Mathematics,APPLIED MATHEMATICS,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,19112,15136,12109,892,0.055652608,47000,70000,106000.0
Computers & Mathematics,MATHEMATICS,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,432806,280902,209838,15701,0.05293608,42000,66000,100000.0
Computers & Mathematics,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,51771,44071,35954,2748,0.05869412,36000,55000,80000.0
Computers & Mathematics,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,39362,32366,28156,2626,0.075045725,40000,55000,80000.0
Computers & Mathematics,INFORMATION SCIENCES,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,77805,66393,57604,3704,0.052841063,46200,68000,95000.0
Computers & Mathematics,MATHEMATICS AND COMPUTER SCIENCE,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,7184,5874,5039,150,0.024900398,53000,92000,136000.0
Computers & Mathematics,COMMUNICATION TECHNOLOGIES,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,62141,49609,37261,4609,0.08500866900000001,34500,50000,75000.0
Computers & Mathematics,COMPUTER AND INFORMATION SYSTEMS,Computer and Mathematical Occupations,Mathematicians,Master's degree,None,253782,218248,189950,11945,0.051891239000000006,45000,65000,90000.0
Computers & Mathematics,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,51771,44071,35954,2748,0.05869412,36000,55000,80000.0
Computers & Mathematics,MATHEMATICS,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,432806,280902,209838,15701,0.05293608,42000,66000,100000.0
Computers & Mathematics,COMMUNICATION TECHNOLOGIES,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,62141,49609,37261,4609,0.08500866900000001,34500,50000,75000.0
Computers & Mathematics,COMPUTER SCIENCE,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,783292,656372,561052,34196,0.049518657,51000,78000,105000.0
Computers & Mathematics,APPLIED MATHEMATICS,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,19112,15136,12109,892,0.055652608,47000,70000,106000.0
Computers & Mathematics,MATHEMATICS AND COMPUTER SCIENCE,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,7184,5874,5039,150,0.024900398,53000,92000,136000.0
Computers & Mathematics,COMPUTER AND INFORMATION SYSTEMS,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,253782,218248,189950,11945,0.051891239000000006,45000,65000,90000.0
Computers & Mathematics,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,39362,32366,28156,2626,0.075045725,40000,55000,80000.0
Computers & Mathematics,COMPUTER PROGRAMMING AND DATA PROCESSING,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,29317,22828,18747,2265,0.090264217,40000,60000,85000.0
Computers & Mathematics,INFORMATION SCIENCES,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,77805,66393,57604,3704,0.052841063,46200,68000,95000.0
Computers & Mathematics,STATISTICS AND DECISION SCIENCE,Computer and Mathematical Occupations,Operations research analysts,Bachelor's degree,None,24806,18808,14468,1138,0.057054046,43000,70000,102000.0
Computers & Mathematics,INFORMATION SCIENCES,Computer and Mathematical Occupations,Statisticians,Master's degree,None,77805,66393,57604,3704,0.052841063,46200,68000,95000.0
Computers & Mathematics,COMMUNICATION TECHNOLOGIES,Computer and Mathematical Occupations,Statisticians,Master's degree,None,62141,49609,37261,4609,0.08500866900000001,34500,50000,75000.0
Computers & Mathematics,COMPUTER AND INFORMATION SYSTEMS,Computer and Mathematical Occupations,Statisticians,Master's degree,None,253782,218248,189950,11945,0.051891239000000006,45000,65000,90000.0
Computers & Mathematics,COMPUTER PROGRAMMING AND DATA PROCESSING,Computer and Mathematical Occupations,Statisticians,Master's degree,None,29317,22828,18747,2265,0.090264217,40000,60000,85000.0
Computers & Mathematics,COMPUTER SCIENCE,Computer and Mathematical Occupations,Statisticians,Master's degree,None,783292,656372,561052,34196,0.049518657,51000,78000,105000.0
Computers & Mathematics,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer and Mathematical Occupations,Statisticians,Master's degree,None,39362,32366,28156,2626,0.075045725,40000,55000,80000.0
Computers & Mathematics,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer and Mathematical Occupations,Statisticians,Master's degree,None,51771,44071,35954,2748,0.05869412,36000,55000,80000.0
Computers & Mathematics,MATHEMATICS,Computer and Mathematical Occupations,Statisticians,Master's degree,None,432806,280902,209838,15701,0.05293608,42000,66000,100000.0
Computers & Mathematics,APPLIED MATHEMATICS,Computer and Mathematical Occupations,Statisticians,Master's degree,None,19112,15136,12109,892,0.055652608,47000,70000,106000.0
Computers & Mathematics,STATISTICS AND DECISION SCIENCE,Computer and Mathematical Occupations,Statisticians,Master's degree,None,24806,18808,14468,1138,0.057054046,43000,70000,102000.0
Computers & Mathematics,MATHEMATICS AND COMPUTER SCIENCE,Computer and Mathematical Occupations,Statisticians,Master's degree,None,7184,5874,5039,150,0.024900398,53000,92000,136000.0
Engineering,CHEMICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,188046,131697,109406,6388,0.046261361,60000,86000,120000.0
Engineering,MATERIALS SCIENCE,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,7208,5866,4505,134,0.022333333,60000,75000,100000.0
Engineering,PETROLEUM ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,19631,14002,11636,617,0.042205349,75000,125000,210000.0
Engineering,ARCHITECTURE,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,294692,216770,163020,20394,0.085991129,40400,63000,93500.0
Engineering,ENVIRONMENTAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,13016,9849,8104,472,0.045732003,50000,70000,95000.0
Engineering,ENGINEERING AND INDUSTRIAL MANAGEMENT,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,47098,27275,22104,1577,0.054658256,50000,74000,107000.0
Engineering,INDUSTRIAL AND MANUFACTURING ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,138366,101273,85014,5498,0.051493383,50000,75000,101000.0
Engineering,CIVIL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,358593,262831,220528,14823,0.053386589000000005,55000,78000,105000.0
Engineering,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,6264,4120,3350,0,0.0,55000,85000,125000.0
Engineering,BIOMEDICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,18347,12876,9202,1105,0.079035834,40000,65000,96000.0
Engineering,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,64196,53097,46183,3401,0.060196821,42000,63000,90000.0
Engineering,COMPUTER ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,154160,128742,111025,7456,0.054743829,60000,80000,107000.0
Engineering,ELECTRICAL ENGINEERING TECHNOLOGY,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,94697,73737,64157,4572,0.058384094,46900,67000,91000.0
Engineering,AEROSPACE ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,65734,44944,38491,1969,0.041971309000000005,58000,80000,110000.0
Engineering,MISCELLANEOUS ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,57006,43906,37194,2744,0.058821008,50000,70000,100000.0
Engineering,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,21430,14687,11871,933,0.059731114,55000,78000,105000.0
Engineering,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,29348,24190,21273,1101,0.043533273,40000,60000,82000.0
Engineering,ELECTRICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,671647,489965,422317,26064,0.050508789000000005,60000,88000,116000.0
Engineering,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,20582,14909,12257,683,0.043804515,45000,65000,100000.0
Engineering,BIOLOGICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,32748,24270,18621,1521,0.058974061,40000,62000,91000.0
Engineering,NUCLEAR ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,9826,7320,6474,527,0.06715942400000001,65000,95000,128000.0
Engineering,MECHANICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,581529,422207,362053,19360,0.043843856,59000,80000,110000.0
Engineering,ARCHITECTURAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,19587,13713,11180,1017,0.06904277,50000,78000,102000.0
Engineering,GENERAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,503080,359172,312023,17986,0.047688237,50000,75000,100000.0
Engineering,INDUSTRIAL PRODUCTION TECHNOLOGIES,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,82142,65401,57266,3431,0.049846002,48000,70000,98000.0
Engineering,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,16094,10690,9226,449,0.040308825,60000,97000,125000.0
Engineering,METALLURGICAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,12818,6939,5462,326,0.044872677,65000,96000,123000.0
Engineering,MINING AND MINERAL ENGINEERING,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,10746,7416,6419,366,0.047031611,52000,92000,124000.0
Engineering,ENGINEERING TECHNOLOGIES,Architecture and Engineering Occupations,"Architects, except landscape and naval",Bachelor's degree,None,37382,30102,25651,1475,0.046711214,40000,63000,93000.0
Engineering,NUCLEAR ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,9826,7320,6474,527,0.06715942400000001,65000,95000,128000.0
Engineering,ENGINEERING AND INDUSTRIAL MANAGEMENT,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,47098,27275,22104,1577,0.054658256,50000,74000,107000.0
Engineering,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,20582,14909,12257,683,0.043804515,45000,65000,100000.0
Engineering,ARCHITECTURE,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,294692,216770,163020,20394,0.085991129,40400,63000,93500.0
Engineering,GENERAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,503080,359172,312023,17986,0.047688237,50000,75000,100000.0
Engineering,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,16094,10690,9226,449,0.040308825,60000,97000,125000.0
Engineering,METALLURGICAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,12818,6939,5462,326,0.044872677,65000,96000,123000.0
Engineering,AEROSPACE ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,65734,44944,38491,1969,0.041971309000000005,58000,80000,110000.0
Engineering,BIOLOGICAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,32748,24270,18621,1521,0.058974061,40000,62000,91000.0
Engineering,ARCHITECTURAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,19587,13713,11180,1017,0.06904277,50000,78000,102000.0
Engineering,MECHANICAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,581529,422207,362053,19360,0.043843856,59000,80000,110000.0
Engineering,BIOMEDICAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,18347,12876,9202,1105,0.079035834,40000,65000,96000.0
Engineering,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,21430,14687,11871,933,0.059731114,55000,78000,105000.0
Engineering,CHEMICAL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,188046,131697,109406,6388,0.046261361,60000,86000,120000.0
Engineering,MATERIALS SCIENCE,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,7208,5866,4505,134,0.022333333,60000,75000,100000.0
Engineering,PETROLEUM ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,19631,14002,11636,617,0.042205349,75000,125000,210000.0
Engineering,INDUSTRIAL AND MANUFACTURING ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,138366,101273,85014,5498,0.051493383,50000,75000,101000.0
Engineering,CIVIL ENGINEERING,Architecture and Engineering Occupations,Landscape architects,Bachelor's degree,None,358593,262831,220528,14823,0.053386589000000005,55000,78000,105000.0
